,0,0,0
0,1,44," 트럼프, 대통령, 회담"
1,2,31," 먼지, 대책, 미세"
2,14,24," 영장, 양, 검찰"
3,15,3," 경찰, 환자, 조사"
4,22,14," 지사, 수사, 김"
5,42,2," 서비스, 제공,올레"
6,54,38," 민주당, 트럼프, 미국"
7,63,6," 살해, 계획, 피해자"
8,70,3," 시장, 기업, 실적"
9,73,3," 노조, 파업, 기준"
10,78,68," 대통령, 회견, 질문"
11,83,2," 회장,경영인, 균"
12,85,7," 동물, 대표, 박"
13,92,8," 청소년, 대안, 만"
14,93,5," 기아차, 디자인, 대"
15,99,2," 투자자, 투자, 시행령"
16,101,83," 정상, 미국, 북한"
17,107,11," 의혹, 당, 손"
18,109,35," 분기, 삼성전자, 영업이익"
19,113,4," 소송, 강, 혐의"
20,114,12," 엽총, 무기, 징역"
21,122,4," 먼지, 이날, 미세"
22,125,6," 이혼, 사우디, 남성"
23,126,2," 위임,임금, 회사"
24,129,15," 서비스, 투자, 국내"
25,134,18," 별세, 발인, 분"
26,149,3," 청와대, 설, 특산품"
27,154,2," 북한군, 핵,재래식"
28,156,17," 인플루엔자, 일본, 행동"
29,164,10," 임, 차장, 재판"
30,169,12," 건강, 적용, 보험"
31,185,12," 지정, 금감원, 상위"
32,186,92," 먼지, 미세, 농도"
33,188,6," 억, 흑자, 수지"
34,192,2," 중견, 지원, 확대"
35,193,16," 먼지, 미세, 한국"
36,195,9," 아파트, 억, 단지"
37,210,8," 제일, 이영애, 출산"
38,211,45," 결정, 정부, 최저"
39,213,25," 추행, 성, 혐의"
40,221,5," 건강, 통치, 연골"
41,230,32," 김, 청와대, 징계"
42,234,4," 설, 대금, 사정"
43,235,19," 성폭력, 코치, 체육"
44,239,9," 학교, 교육청, 서울"
45,240,6," 여수, 방문, 기술"
46,242,2," 지도, 진행, 학원"
47,255,8," 매매, 여성, 성"
48,258,4," GS칼텍스, 주유소, 융"
49,261,2," 교육, 우수, 프로그램"
50,266,5," 공격, 탈레반, 기지"
51,267,2," 주택, 전세, 주거"
52,268,2," 만, 대, 생산"
53,269,27," 총리, 아베, 한국"
54,270,3," 차세대, 시스템, 구축"
55,272,2," 수사, 회원,워마드"
56,274,37," 초계기, 위협비행, 근접"
57,286,3," 중국, 초미세먼지, 대기"
58,289,3," 킥, 골, 페널티"
59,290,2," 회사, 체벌,직원"
60,308,11," 혐의, 회장, 검찰"
61,323,11," 참모, 총장, 대변인"
62,329,19," 협의, 정부, 요청"
63,338,25," 부동산, 손, 매입"
64,346,3," 에이블씨엔씨, 브랜드, 억"
65,356,12," 공소, 제주, 수형인"
66,359,7," 북한, 미사일, 보고서"
67,364,9," 학교, 학생, 공론"
68,366,5," 낙동강, 구미보, 환경부"
69,368,10," 위반, 공직, 선거법"
70,371,9," 남, 사업, 직원"
71,377,5," 투자, 주식, 올해"
72,389,2," 차량, 평가, 충돌"
73,393,5," 지역, 계획, 이상"
74,394,4," 급, 선발, 임용"
75,399,6," 이동, 동물원, 전시"
76,405,3," 반환, 릴리, 억제제"
77,408,9," 혐의, 청탁, 선고"
78,409,9," 캐나다, 선고, 사형"
79,426,3," 구매, 고객, 전자"
80,434,2," 김, 월세,모녀"
81,441,34," 손혜원, 투기, 목포"
82,443,11," 훼손, 명예, 출석"
83,446,13," 핵, 보유, 미국"
84,451,4," 연휴, 자치구, 수거"
85,452,2," 가능, 세계, 가능성"
86,453,9," 말레이시아, 세, 무하마드"
87,455,56," 전당대회, 출마, 총리"
88,457,3," 이벤트, 홈페이지, 고객"
89,476,13," 롯데백화점, 매장, 인천터미널점"
90,478,2," 절도, 멕시코,석유"
91,481,8," 국세청, 탈세, 혐의"
92,484,7," 수급, 국민, 만"
93,485,3," 실장, 금감원, 승진"
94,487,2," 위, 인기, 방탄소년단"
95,490,2," 군, 정치, 위원"
96,493,27," 투기, 손, 의혹"
97,496,2," 검정, 교육, 교육부"
98,497,22," 청와대, 총장, 행정관"
99,498,3," 베트남, 주류, 한국"
